TravelDate,EntryTapCount,ExitTapCount
20230103,1665,1271
20230104,1697,1432
20230105,3168,3838
20230106,1893,1558
20230107,1354,975
20230108,1994,2010
20230109,5512,5345
20230110,5902,5766
20230111,6147,5976
20230112,5045,4882
20230113,5609,5455
20230114,4874,4422
20230115,3293,3019
20230116,5898,5570
20230117,6287,5956
20230118,6375,6086
20230119,6309,6277
20230120,5950,5208
20230121,4469,4026
20230122,2715,2695
20230123,6162,6154
20230124,6525,6354
20230125,6394,6094
20230126,6571,6354
20230127,6343,6028
20230128,4440,4218
20230129,2792,2732
20230130,6245,5981
20230131,6721,6455
20230201,5508,5329
20230202,6533,6332
20230203,5886,5500
20230204,0,1
20230206,6036,6001
20230207,6603,6437
20230208,6805,6620
20230209,6607,6253
20230210,6372,6004
20230212,1,0
20230213,6054,5772
20230214,6333,6157
20230215,6342,6200
20230216,6382,6223
20230217,6018,5795
20230220,6256,6030
20230221,6664,6366
20230222,6567,6269
20230223,6690,6584
20230224,6481,5917
20230225,0,1
20230227,6486,6186
20230228,6699,6542
20230301,6726,6453
20230302,6757,6476
20230303,6617,6069
20230306,6189,6012
20230307,6699,6398
20230308,6301,5989
20230309,6465,6234
20230310,6252,5848
20230312,1,0
20230313,6417,6128
20230314,6771,6586
20230315,6505,6377
20230316,6518,5562
20230317,6628,6011
20230318,4853,4356
20230319,3056,2989
20230320,6529,6193
20230321,6893,6665
20230322,6716,6513
20230323,6664,6481
20230324,6198,6008
20230325,4675,4410
20230326,2733,2681
20230327,6216,6123
20230328,6617,6366
20230329,6599,6207
20230330,6600,6400
20230331,6073,5641
20230401,4207,4058
20230402,3140,3044
20230403,5891,5745
20230404,6187,5923
20230405,6474,6248
20230406,6243,5996
20230407,3828,3369
20230408,3795,3330
20230409,2475,2485
20230410,2636,2550
20230411,5850,5644
20230412,6037,5691
20230413,6164,6142
20230414,5799,5477
20230415,4360,3981
20230416,2965,2829
20230417,6188,5851
20230418,6427,6226
20230419,6697,6200
20230420,6931,6477
20230421,5921,5571
20230422,4519,4165
20230423,2912,2884
20230424,6296,6142
20230425,6884,6790
20230426,7112,6918
20230427,6696,6415
20230428,6746,6230
20230429,5555,5134
20230430,3718,3618
20230501,3695,3428
20230502,6477,6301
20230503,7320,6985
20230504,7086,6767
20230505,6040,5377
20230506,3312,3113
20230507,3191,3078
20230508,2855,2704
20230509,5745,5543
20230510,6026,5661
20230511,6289,6011
20230512,5391,4922
20230513,3898,3729
20230514,2823,2823
20230515,5631,5451
20230516,6072,5748
20230517,6120,5642
20230518,6069,5673
20230519,5674,5413
20230520,4089,3763
20230521,2924,2832
20230522,5549,5192
20230523,6101,5856
20230524,6745,6604
20230525,7122,6925
20230526,6883,6405
20230527,5050,4553
20230528,3920,3594
20230529,3716,3742
20230530,6536,6183
20230531,6296,5991
20230601,6790,6357
20230602,5971,5743
20230603,4761,4306
20230604,3382,3177
